,index,employed,bank_balance,annual_salary,defaulted,event_timestamp,created_timestamp
0,1,1.0,0.274846288314898,0.598905007896155,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
1,2,0.0,0.30786792850899664,0.1557269587396709,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
2,3,1.0,0.40445387142469635,0.4258616041876139,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
3,4,1.0,0.19939193465746405,0.47995926479886725,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
4,5,1.0,0.29599294734621295,0.5178669912146174,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
5,6,0.0,0.34645031495825673,0.09232455820965164,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
6,7,1.0,0.3110062087464963,0.3315816244233142,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
7,8,0.0,0.30466183429277555,0.23121678277096644,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
8,9,1.0,0.43742276741312275,0.5041964896390961,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
9,10,1.0,0.0,0.39162427767425745,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
10,11,0.0,0.0,0.289893443814468,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
11,12,0.0,0.4598465897103589,0.17169829571107026,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
12,13,1.0,0.08930724253292745,0.37756082320059864,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
13,14,1.0,0.2285858524970614,0.6076012204072806,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
14,15,1.0,0.41930513276470055,0.31653592510042966,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
15,16,1.0,0.10783552849694084,0.6082586608330107,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
16,17,1.0,0.0,0.68001927942331,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
17,18,0.0,0.19874770185960997,0.23171264536165823,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
18,19,1.0,0.1830751378884234,0.8352878847125659,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
19,20,1.0,0.41256140932517554,0.3530071751000862,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
20,21,1.0,0.08625561349046083,0.683246302052176,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
21,22,1.0,0.35951204074866633,0.4353470200018521,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
22,23,1.0,0.3978269387263028,0.6944811826398357,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
23,24,1.0,0.24186232255342235,0.40798581962142977,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
24,25,1.0,0.2913024804846439,0.4613945760958783,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
25,26,1.0,0.3221201663702945,0.3357873196023317,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
26,27,1.0,0.2422466017661774,0.5592233601979384,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
27,28,1.0,0.548110250459628,0.4316590333963249,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
28,29,1.0,0.23196148166008618,0.5304097454517076,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
29,30,0.0,0.4217916453178215,0.21686740697527118,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
30,31,1.0,0.18642062750534977,0.7366191981397665,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
31,32,0.0,0.16911299315832304,0.20647201666999626,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
32,33,0.0,0.22035775641218844,0.297572100673983,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
33,34,1.0,0.344189849000874,0.6338805637527607,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
34,35,0.0,0.5364613158925826,0.3003825382723757,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
35,36,0.0,0.5650110009343259,0.17062784255394103,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
36,37,1.0,0.26071837608125625,0.6462376958341222,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
37,38,1.0,0.13240679345369058,0.4714819243040818,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
38,39,1.0,0.2797816389885168,0.5096413604084292,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
39,40,1.0,0.2460592543476295,0.5319650695100702,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
40,41,1.0,0.328573796678622,0.5635384226870669,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
41,42,1.0,0.31543295457970405,0.6965955715032757,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
42,43,1.0,0.4338700684167696,0.5790628100858644,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
43,44,0.0,0.08309472859338737,0.22122121516974055,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
44,45,0.0,0.6367845625244883,0.25116834789136805,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
45,46,1.0,0.1540017782332198,0.7341757455731658,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
46,47,1.0,0.4666392899122939,0.6772901803269094,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
47,48,1.0,0.46275882335212026,0.503371700741362,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
48,49,1.0,0.3092769522890986,0.6454123573519152,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
49,50,1.0,0.32305449229934596,0.42477906017208045,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
50,51,1.0,0.2123406371500045,0.5752676545081178,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
51,52,0.0,0.48335166822387654,0.16966593233021343,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
52,53,0.0,0.5672940715512824,0.3542782265898311,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
53,54,0.0,0.34059194068537324,0.22134968054028553,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
54,55,1.0,0.0,0.675777449065198,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
55,56,0.0,0.4876955303053136,0.13316912665256617,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
56,57,0.0,0.48055622532324666,0.20768110251041946,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
57,58,1.0,0.5789015642424425,0.6594318450677404,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
58,59,1.0,0.5020193495885952,0.5272049809939949,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
59,60,1.0,0.18538834805147833,0.44800917146568414,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
60,61,1.0,0.2886728050875554,0.6279870946574069,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
61,62,1.0,0.26000256186141835,0.860937953836553,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
62,63,1.0,0.0,0.43567718287395857,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
63,64,1.0,0.5578302540763735,0.495920159665281,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
64,65,1.0,0.37262274330148587,0.6124058252656623,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
65,66,1.0,0.4906492058229603,0.45235556026976903,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
66,67,1.0,0.3935282859640134,0.7409058196324214,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
67,68,1.0,0.0,0.5892405649398631,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
68,69,1.0,0.326271888845354,0.5164919308633725,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
69,70,1.0,0.2602549805599928,0.650824802637346,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
70,71,1.0,0.22520268844751198,0.4232576729549206,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
71,72,1.0,0.16180792067271468,0.6943896768250946,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
72,73,1.0,0.5267488471623617,0.5340995182067718,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
73,74,0.0,0.5945251514512192,0.26262608498279666,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
74,75,1.0,0.32289625968232916,0.3556322653349869,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
75,76,0.0,0.28348503571536215,0.21213012621482213,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
76,77,0.0,0.2918788993037765,0.19814938420433773,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
77,78,1.0,0.27440926489647066,0.6094857455649221,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
78,79,1.0,0.02900554567648211,0.37948972730442837,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
79,80,1.0,0.0740151903312336,0.557482276587729,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
80,81,0.0,0.35743617951113654,0.18583718065363733,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
81,82,1.0,0.16272340938545465,0.5303203005787399,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
82,83,1.0,0.17392025076102355,0.6244549152499524,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
83,84,1.0,0.21550528949034026,0.44343690344322917,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
84,85,1.0,0.1264240935531511,0.693664500113077,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
85,86,1.0,0.19223002501582326,0.8192346596547017,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
86,87,0.0,0.37868832695379606,0.3196751516097467,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
87,88,0.0,0.06120211579613611,0.17132993671809588,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
88,89,1.0,0.3513253865396787,0.6837586521770552,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
89,90,0.0,0.33655700895144514,0.1529728535497524,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
90,91,1.0,0.5021173031134151,0.600739658262879,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
91,92,1.0,0.5290921968715151,0.47087216033137747,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
92,93,0.0,0.43286792850899664,0.21717132718879575,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
93,94,1.0,0.1387247958045752,0.7807515182958045,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
94,95,1.0,0.169335272310799,0.6207378006673605,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
95,96,1.0,0.30893788239549114,0.6981466362819732,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
96,97,0.0,0.2334872961813195,0.20580083663244314,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
97,98,1.0,0.39472256547816387,0.6271445816604211,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
98,99,1.0,0.09186533650803219,0.6378191608779393,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
99,100,1.0,0.07026281684197835,0.6135915537659864,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
100,101,1.0,0.5357379667862202,0.5145767663713657,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
101,102,1.0,0.14459447240724554,0.8333530725756524,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
102,103,1.0,0.43681244160462945,0.6186965065388186,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
103,104,1.0,0.3326614726182223,0.22546386990456194,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
104,105,1.0,0.5512636004701769,0.8887588816285726,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
105,106,0.0,0.6488893577262727,0.25472484641174925,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
106,107,0.0,0.2915699689562675,0.18942720382686662,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
107,108,1.0,0.36098511106422737,0.44027638053558654,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
108,109,1.0,0.45493007625305165,0.9242033704366971,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
109,110,1.0,0.39807182253835255,0.4090918583731805,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
110,111,1.0,0.044320202537749785,0.6289760719164258,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
111,112,1.0,0.22490129298652764,0.7875049496951592,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
112,113,1.0,0.0,0.6451800205159884,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
113,114,0.0,0.2040673317459839,0.21383960871783866,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
114,115,1.0,0.42164471503059164,0.6079510309242939,0,2023-02-23 02:39:38.110222,2023-02-24 02:39:38.117454
